subject_ix,t_l,ip
1,2,38.419999999999995
1,4,39.779999999999994
1,8,38.419999999999995
1,16,35.02
1,32,35.02
1,64,29.58
1,128,21.419999999999998
6,2,41.82
6,4,41.13999999999999
6,8,41.82
6,16,39.779999999999994
6,32,32.3
6,64,35.699999999999996
6,128,35.699999999999996
14,2,22.1
14,4,13.94
14,8,7.819999999999999
14,16,7.819999999999999
14,32,5.1
14,64,5.1
14,128,5.1
17,2,41.82
17,4,41.82
17,8,41.13999999999999
17,16,38.419999999999995
17,32,35.02
17,64,25.5
17,128,22.1
20,2,31.619999999999997
20,4,29.58
20,8,29.58
20,16,21.419999999999998
20,32,18.7
20,64,13.94
20,128,11.9
23,2,43.18
23,4,41.13999999999999
23,8,40.46
23,16,41.13999999999999
23,32,39.1
23,64,39.779999999999994
23,128,30.259999999999998
25,2,40.46
25,4,41.82
25,8,41.13999999999999
25,16,41.13999999999999
25,32,40.46
25,64,41.13999999999999
25,128,37.74
27,2,37.74
27,4,39.1
27,8,35.699999999999996
27,16,35.02
27,32,35.699999999999996
27,64,33.660000000000004
27,128,33.660000000000004
33,2,39.1
33,4,39.1
33,8,35.699999999999996
33,16,35.02
33,32,30.259999999999998
33,64,9.86
33,128,6.46
35,2,41.13999999999999
35,4,39.779999999999994
35,8,39.1
35,16,35.02
35,32,35.02
35,64,32.98
35,128,24.82
38,2,32.98
38,4,30.259999999999998
38,8,31.619999999999997
38,16,32.98
38,32,21.419999999999998
38,64,22.1
38,128,13.26
43,2,43.18
43,4,41.13999999999999
43,8,41.13999999999999
43,16,39.779999999999994
43,32,39.779999999999994
43,64,39.1
43,128,38.419999999999995
50,2,42.49999999999999
50,4,42.49999999999999
50,8,42.49999999999999
50,16,41.82
50,32,41.13999999999999
50,64,39.779999999999994
50,128,39.779999999999994
52,2,41.13999999999999
52,4,37.74
52,8,36.38
52,16,39.1
52,32,37.74
52,64,35.699999999999996
52,128,33.660000000000004
56,2,35.699999999999996
56,4,35.02
56,8,33.660000000000004
56,16,32.98
56,32,29.58
56,64,19.38
56,128,18.02
62,2,38.419999999999995
62,4,39.1
62,8,37.059999999999995
62,16,32.3
62,32,26.18
62,64,32.98
62,128,19.38
65,2,41.13999999999999
65,4,32.3
65,8,30.259999999999998
65,16,30.259999999999998
65,32,30.259999999999998
65,64,28.22
65,128,20.74
68,2,37.74
68,4,37.74
68,8,39.1
68,16,38.419999999999995
68,32,39.1
68,64,37.74
68,128,39.1
70,2,39.779999999999994
70,4,39.779999999999994
70,8,39.779999999999994
70,16,37.74
70,32,37.74
70,64,37.74
70,128,37.059999999999995
74,2,37.74
74,4,40.46
74,8,37.74
74,16,37.74
74,32,21.419999999999998
74,64,10.54
74,128,9.86
75,2,39.1
75,4,39.779999999999994
75,8,39.1
75,16,39.779999999999994
75,32,39.1
75,64,34.339999999999996
75,128,33.660000000000004
77,2,41.82
77,4,41.82
77,8,41.13999999999999
77,16,41.13999999999999
77,32,39.779999999999994
77,64,38.419999999999995
77,128,35.02
79,2,39.1
79,4,37.74
79,8,35.02
79,16,30.259999999999998
79,32,20.74
79,64,5.78
79,128,3.06
81,2,43.18
81,4,43.18
81,8,42.49999999999999
81,16,41.13999999999999
81,32,37.74
81,64,37.059999999999995
81,128,35.02
82,2,24.82
82,4,10.54
82,8,6.46
82,16,5.78
82,32,3.7399999999999998
82,64,5.78
82,128,3.06
83,2,9.86
83,4,9.86
83,8,5.1
83,16,3.06
83,32,1.7
83,64,1.02
83,128,1.02
84,2,41.82
84,4,41.13999999999999
84,8,38.419999999999995
84,16,35.699999999999996
84,32,32.3
84,64,22.1
84,128,13.94
85,2,43.18
85,4,41.82
85,8,41.13999999999999
85,16,39.779999999999994
85,32,34.339999999999996
85,64,21.419999999999998
85,128,9.86
89,2,43.18
89,4,41.13999999999999
89,8,40.46
89,16,37.74
89,32,22.1
89,64,9.18
89,128,1.02
91,2,40.46
91,4,41.13999999999999
91,8,40.46
91,16,37.74
91,32,35.699999999999996
91,64,33.660000000000004
91,128,21.419999999999998
93,2,43.18
93,4,43.18
93,8,43.18
93,16,43.18
93,32,41.13999999999999
93,64,41.13999999999999
93,128,41.13999999999999
