participant_id,defer,speedup,diff,direction
9,0.891566265060241,0.8024691358024691,-0.0890971292577718,incompatible
11,0.9054054054054054,0.7432432432432432,-0.16216216216216217,incompatible
13,0.4675324675324675,0.5526315789473685,0.08509911141490095,compatible
15,0.75,0.9523809523809523,0.20238095238095233,compatible
19,0.4177215189873418,0.9210526315789473,0.5033311125916056,compatible
21,0.48148148148148145,0.5833333333333334,0.10185185185185192,compatible
24,0.7625,0.8795180722891566,0.11701807228915662,compatible
26,0.39285714285714285,0.5365853658536586,0.14372822299651572,compatible
32,0.6875,0.7901234567901234,0.10262345679012341,compatible
36,0.6746987951807228,0.810126582278481,0.13542778709775816,compatible
37,0.3614457831325301,0.8181818181818182,0.4567360350492881,compatible
41,0.34523809523809523,0.5061728395061729,0.16093474426807763,compatible
42,0.6582278481012658,0.7692307692307693,0.1110029211295035,compatible
45,0.8095238095238095,0.9036144578313253,0.09409064830751579,compatible
46,0.39759036144578314,0.5925925925925926,0.19500223114680942,compatible
47,0.9154929577464789,0.8072289156626506,-0.10826404208382823,incompatible
49,0.847457627118644,0.9629629629629629,0.11550533584431888,compatible
51,0.475,0.5945945945945946,0.11959459459459465,compatible
55,0.5189873417721519,0.525,0.006012658227848133,compatible
58,0.5189873417721519,0.4222222222222222,-0.09676511954992967,incompatible
64,0.8292682926829268,0.8192771084337349,-0.009991184249191876,incompatible
67,0.9625,0.926829268292683,-0.03567073170731705,incompatible
69,0.7407407407407407,0.8414634146341463,0.10072267389340561,compatible
86,0.7848101265822784,0.7435897435897436,-0.04122038299253483,incompatible
87,0.8157894736842105,0.7901234567901234,-0.025666016894087096,incompatible
88,0.3493975903614458,1,0.6506024096385542,compatible
90,0.7380952380952381,0.7469879518072289,0.00889271371199074,compatible
92,0.6785714285714286,0.7654320987654321,0.08686067019400345,compatible
