model,parameterization,aggregate_BIC,k,count,dBIC
DDM (σ fixed),κ μ,23611.669478881056,7,1,1181.3484838889199
DDM (σ fixed),κ μ t0,23658.63483755315,8,0,1228.3138425610123
DDM (σ fixed),κ,23430.037393012364,6,1,999.7163980202276
DDM (σ fixed),κ t0,23395.035847753727,7,3,964.71485276159
DDM (σ fixed),μ,23335.37105028737,6,3,905.0500552952326
DDM (σ fixed),μ t0,23360.046665639293,7,2,929.7256706471562
DFT (σ varied),κ μ,22734.663027337036,7,0,304.34203234489905
DFT (σ varied),κ μ t0,22789.43017944897,8,0,359.10918445683274
DFT (σ varied),κ,22430.320994992137,6,10,0
DFT (σ varied),κ t0,22525.1074573205,7,5,94.786462328364
DFT (σ varied),μ,22483.31825966292,6,3,52.9972646707829
DFT (σ varied),μ t0,22537.098031073663,7,3,106.7770360815266
