participant_id,frame,med_rt_obs,p_ll_obs,med_rt_prd,p_ll_prd
9,neutral,2.925,0.9,3.0905413041602943,0.9953525714305946
9,defer,3.71,0.891566265060241,3.542141922481712,0.9520624683948007
9,speedup,4.17,0.8024691358024691,3.7022426343855503,0.910798059162509
11,neutral,2.26,0.726027397260274,2.234952235248405,0.9204812908542621
11,defer,2.0949999999999998,0.9054054054054054,2.0759521303187847,0.9821930000440033
11,speedup,2.46,0.7432432432432432,2.2905682753773675,0.8757326954990321
13,neutral,2.05,0.4805194805194805,2.2783940239430143,0.4553498708227776
13,defer,2.61,0.4675324675324675,2.2870421859969734,0.4658984312044794
13,speedup,2.34,0.5526315789473685,2.307585059207919,0.5079051436282213
15,neutral,2.315,0.8928571428571429,2.6623748878752336,0.9290419883795763
15,defer,3.8200000000000003,0.75,3.03565576763528,0.7576058630571708
15,speedup,2.5700000000000003,0.9523809523809523,2.5567911856899572,0.9523569673423733
19,neutral,2.47,1,2.4257484363910646,0.9974187996150905
19,defer,2.94,0.4177215189873418,3.0647316047623288,0.4787898143814944
19,speedup,2.34,0.9210526315789473,2.496033846121687,0.9951834902976703
21,neutral,2.625,0.5853658536585366,2.922915106341432,0.7429234896619875
21,defer,2.84,0.48148148148148145,2.9229151150167216,0.755149941134935
21,speedup,3.21,0.5833333333333334,2.9229151170777317,0.7410820699519892
24,neutral,2.71,0.8536585365853658,2.661392291758442,0.954724439303911
24,defer,2.715,0.7625,2.788453993489867,0.9181418754644561
24,speedup,2.88,0.8795180722891566,2.720027392651756,0.9405316905572291
26,neutral,2.785,0.5975609756097561,3.000554154701052,0.6372084319238751
26,defer,3.125,0.39285714285714285,3.036612347934846,0.3493341910707826
26,speedup,3.045,0.5365853658536586,2.9935735535159376,0.5522970634728354
32,neutral,3.15,0.9156626506024096,2.8553693892316168,0.9947592806785363
32,defer,3.535,0.6875,3.612513585730249,0.8339167124318075
32,speedup,4.27,0.7901234567901234,3.4923466346989063,0.8914566118265931
36,neutral,2.77,0.7530864197530864,3.0576904387313606,0.878773320334563
36,defer,3.34,0.6746987951807228,3.276629524782509,0.788928124461119
36,speedup,2.94,0.810126582278481,3.009005932683568,0.9135766252613937
37,neutral,2.58,0.7654320987654321,2.5729632507325633,0.9356281765626896
37,defer,2.91,0.3614457831325301,2.7410425421160527,0.3569091008945926
37,speedup,2.51,0.8181818181818182,2.555013821293555,0.9511400735291695
41,neutral,2.2649999999999997,0.3875,2.630107012969656,0.4558531529954128
41,defer,2.99,0.34523809523809523,2.6301070148855232,0.458348704906144
41,speedup,2.55,0.5061728395061729,2.611935324958069,0.5548724361356985
42,neutral,2.36,0.7012987012987013,2.5773544738463077,0.8423447980572928
42,defer,2.84,0.6582278481012658,2.6712383701608613,0.8229040062061121
42,speedup,2.715,0.7692307692307693,2.6436895856316047,0.832625695592425
45,neutral,2.67,0.8148148148148148,2.64281402300321,0.9493415843494108
45,defer,2.645,0.8095238095238095,2.7152674596206956,0.9337689795603985
45,speedup,2.95,0.9036144578313253,2.715267463502005,0.9329759415592772
46,neutral,2.79,0.5802469135802469,2.9585562868258357,0.621249639534605
46,defer,2.9,0.39759036144578314,2.9201443367346847,0.41392610921476236
46,speedup,2.9,0.5925925925925926,2.9469353281213935,0.6879797827398786
47,neutral,2.1,0.9493670886075949,2.1018936680317633,0.9969845087902162
47,defer,2.32,0.9154929577464789,2.2517308264340765,0.9796833105106508
47,speedup,2.48,0.8072289156626506,2.3440487923959012,0.949606475938252
49,neutral,2.07,0.9523809523809523,2.005760039797857,0.9943364521480089
49,defer,2.02,0.847457627118644,2.124866564644139,0.9507897826372504
49,speedup,2.22,0.9629629629629629,2.064409165874567,0.9790364214166032
51,neutral,2.215,0.47368421052631576,2.2337332851290554,0.498981483680968
51,defer,2.46,0.475,2.2327459073689595,0.5309898233986861
51,speedup,2.16,0.5945945945945946,2.2271526594640254,0.670629016221704
55,neutral,3.25,0.5476190476190477,3.1194149955493407,0.5510770873301826
55,defer,2.72,0.5189873417721519,3.1529607688577577,0.5419021509494635
55,speedup,3.825,0.525,3.0798178425788887,0.5667575109997084
58,neutral,2.04,0.6266666666666667,2.215728975058663,0.7974196022384386
58,defer,2.44,0.5189873417721519,2.234718427991989,0.7716788286631576
58,speedup,2.28,0.4222222222222222,2.2347184292987436,0.7751675793962222
64,neutral,2.48,0.7662337662337663,2.6721267568570366,0.8889368864617597
64,defer,2.99,0.8292682926829268,2.7145942822254234,0.8692461588020028
64,speedup,2.68,0.8192771084337349,2.69166378613241,0.880707821342361
67,neutral,2.73,0.9397590361445783,2.610882068300098,0.995921675349452
67,defer,2.6500000000000004,0.9625,2.554073980611269,0.9977758471138344
67,speedup,2.755,0.926829268292683,2.7119648568191526,0.9904376272084304
69,neutral,3.21,0.6049382716049383,3.0341109713332703,0.7469684817387071
69,defer,3.13,0.7407407407407407,2.9909693580201346,0.8185378674339242
69,speedup,2.6799999999999997,0.8414634146341463,2.8258785015844374,0.921835121154972
86,neutral,2.17,0.7105263157894737,2.149690140959842,0.7874086170705422
86,defer,2.33,0.7848101265822784,2.1531664862066178,0.7911011439338118
86,speedup,2.22,0.7435897435897436,2.1389971759953212,0.794161382583509
87,neutral,2.79,0.717948717948718,2.673454072011085,0.8863893325575568
87,defer,2.9,0.8157894736842105,2.6126174821586217,0.9114190213572922
87,speedup,3,0.7901234567901234,2.743620217778385,0.8576644209006034
88,neutral,2.65,0.2261904761904762,2.7352150557971733,0.20818146222521863
88,defer,2.48,0.3493975903614458,2.735215057477575,0.20821096299369785
88,speedup,2.63,1,2.4517318095986456,0.9850714003581145
90,neutral,3.8,0.7619047619047619,3.7709280215418337,0.8576915901151522
90,defer,4.1899999999999995,0.7380952380952381,3.8609585817046415,0.8099606986650024
90,speedup,4.27,0.7469879518072289,3.858027068899824,0.8092533369488194
92,neutral,3.455,0.7142857142857143,3.791108816915331,0.8131797625996882
92,defer,3.43,0.6785714285714286,3.7911088217066475,0.8131797615760368
92,speedup,4.44,0.7654320987654321,3.791108832158969,0.8245695690519385
