participant_id,alpha,beta,kappa2,w,theta_star,t0
1,0.6549983737148471,0.4142711387544132,0.9098258725581132,0.8498589820390531,4.986800733795748,1.0696675256148505
6,0.877278841209586,0.5116651194576134,0.8874125794656926,0.8594389434854104,4.299610479929857,1.1519906274630975
14,0.07891305074623618,0.010000010348588143,0.2969722515776313,0.5319269742179449,3.682742980214372,1.1407492568660087
17,0.8839058950932704,0.40958952848115804,0.7108151457214461,0.615542556459812,4.024031204067976,1.3669697642495608
20,0.28343287103222187,0.7837472012668549,0.9870703124873338,0.9694818933414622,3.9067642350186866,1.426053161125197
23,1.229884799571421,0.9180143250154317,0.999999999574867,0.5949482749408483,2.406209898879267,1.3697958644581958
25,0.9043136890746062,0.27547781186775433,0.43265629522898225,0.5283793597227622,2.4849389864615685,1.437302334547565
27,1.3652190630373437,0.8049627980641195,2.1415944137125607,0.5949281174957638,3.3621078144105536,1.3010426977972431
33,1.0530223070846239,0.8468152455279744,0.7784951385728108,0.6063676009475125,4.667852297928355,1.0406127001340513
35,0.93053605707895,0.5781713420038744,1.0806897619591258,0.4338783450963406,3.9962699531990857,1.451145802694234
38,1.1584828228133794,0.8201958823366032,1.2385787355996984,0.5499666334394986,3.6584514992293062,1.0352613065041907
43,1.0642267130795349,0.5149367311638249,0.5579148494793118,0.5316184498424893,3.049536127041787,1.3404764585817257
50,1.4332148387880952,0.7235885073561404,1.4011480027045329,0.6188158735348186,3.2223000737658967,1.3431967223242103
52,1.3713731336495774,0.9351935301839671,0.9583767553575107,0.5023571049400318,3.3327505807844684,1.2090785201240897
56,0.6274986645584768,0.8561982078982557,0.8849153924598415,0.9007679634893885,4.682483038326183,1.599944680988321
62,0.8914588272598845,0.8176715941752899,0.9004067228860231,0.7568263020707804,2.69531127590468,1.4382166250016797
65,0.9838340849909469,0.8761406951470201,0.5537406860879629,0.7357312607621225,2.933496235629985,1.3139114856944138
68,1.209358531080153,0.881579029627935,0.9336742927263715,0.6116685506470098,3.3953081054333887,1.2237467072304276
70,1.5192069268963508,0.9095860895764354,0.44368097286260055,0.6186723395538031,4.870508599284436,1.4894076486958745
74,0.7652560324321351,0.665413056984588,1.1479185861409509,0.826741807227836,2.569391819932488,1.3780292202255886
75,0.8121585825219358,0.35293619743951615,1.0122110015091381,0.7563013641468319,3.3383592271337656,1.201788290788602
77,0.663690865421385,0.4214646359813736,0.4710847483260736,0.9504040886793222,3.0342876908272918,1.2977010577405415
79,2.9999998618107675,2.2659447098348666,1.0000000129381057,0.49961361604789367,4.320736327571092,1.7011683267166264
81,1.032941190626777,0.01000001669516444,0.29548012677475716,0.3748834979133363,3.4321581103550955,1.3022639850391264
82,0.13358188652711564,0.5550931419093932,0.3778993252034145,0.9389419448458983,4.1849158715709764,1.271953239837036
83,0.25887209310159726,0.3592169055169044,0.42283896830459256,0.7557589464301054,4.0754825734720574,1.2076067903813967
84,0.010000024491191018,0.5508277354240056,1.0000000266021711,0.9665371463478453,3.7252314062376564,1.3028203674645766
85,0.6956684975122761,0.2351346397965744,0.11387758306592306,0.41511768651423187,3.1025111546735187,1.2694359056724678
89,0.04197637026093946,0.24024899172829559,0.11133126559442562,0.7948690676526292,4.48717818704752,1.0013773524050298
91,1.3882456264407246,0.8038196181867778,1.1089739885378456,0.6942173095741064,2.7198894544549894,1.3351696086770328
93,2.5021958304100833,1.4821034429774331,2.0864722669895213,0.5180433837003673,3.9630214081529305,1.3306718482755617
